,ID_number,isbn,num_pages,year_first_published,cover_imgae_url,genres,average_rating,number_ratings,title
0,58821,1416502033,0,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170525478l/58821.jpg,"['Fiction', 'Womens Fiction > Chick Lit', 'Romance']",4.26,1062,"Trigiani 3-Copy Box Set: ""Milk Glass Moon,"" ""Big Cherry Holler,"" and ""Big Stone Gap"""
1,104294,0590451545,79,1966,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659348798l/104294._SX318_.jpg,"['History', 'Biography', 'Nonfiction', 'North American Hi... > American History', 'Childrens', 'Politics > Presidents', 'Childrens > Picture Books', 'Biography Memoir', 'Academic > School', 'Childrens > Chapter Books']",3.67,103,If You Grew Up with Abraham Lincoln
2,62249,1400034124,339,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389459772l/62249.jpg,"['Fiction', 'Westerns', 'Literary Fiction']",3.35,156,The Willow Field
3,99744,0440407702,,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171451940l/99744.jpg,"['Young Adult', 'Fiction', 'Childrens', 'Realistic Fiction', 'Adventure > Survival', 'Childrens > Middle Grade', 'Childrens > Juvenile']",3.57,357,Monkey Island
4,184423,0333918061,272,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319096984l/184423.jpg,['Philosophy'],0.00,0,Leon Trotsky and World War One: August 1914 - February 1917
5,72353,0500279144,149,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197824l/72353.jpg,"['Art > Photography', 'Art']",4.42,26,America in Passing
6,194072,0025879103,248,1976,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866251l/194072.jpg,"['Health', 'History']",4.12,33,"White Coat, Clenched Fist: The Political Education of an American Physician"
7,22068,9061120365,288,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388210933l/22068.jpg,"['Mystery', 'Mystery > Crime', 'Fiction', 'Thriller', 'Media Tie In', 'Media Tie In > Tv', 'Thriller > Mystery Thriller', 'Emergency Services > Police', 'Novels', 'Mystery > Detective']",3.76,554,Snake Eyes
8,243286,0816769966,137,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631403650l/243286._SY475_.jpg,"['Fantasy', 'Fiction', 'Young Adult', 'Fantasy > Magic', 'Childrens', 'Childrens > Juvenile', 'Young Adult > Young Adult Fantasy']",3.75,347,The Prisoners of Bell Castle
9,5110,0316769177,214,1951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333320099l/5110.jpg,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'Academic > School', 'Novels', 'Young Adult > Coming Of Age', 'Young Adult > High School', 'Literature > American', 'Academic > Read For School']",3.81,3258686,The Catcher In The Rye
10,147135,1841954810,240,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874827l/147120.jpg,"['Fiction', 'Contemporary', 'Cultural > Italy', 'Novels', 'LGBT', 'Animals', 'LGBT > Gay', 'Humor', 'Literary Fiction', 'Animals > Dogs']",3.58,1173,Timoleon Vieta Come Home: A Sentimental Journey
11,73265,1605064947,54,1895,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266466140l/73265.jpg,"['Occult', 'History > Ancient History', 'Religion']",3.86,49,The Chaldean Oracles Attributed to Zoroaster
12,43493,0671875744,,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170109436l/43493.jpg,"['Fiction', 'Young Adult', 'Horror', 'Romance', 'Gothic', 'Womens Fiction > Chick Lit', 'Adult Fiction', 'Drama', 'Mystery', 'Thriller']",3.90,9570,Fesseln der Erinnerung
13,140525,0449911373,215,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403178874l/140525.jpg,"['Mystery', 'Fiction', 'Mystery > Cozy Mystery', 'Adventure', 'Spy Thriller > Espionage', 'Humor', 'Suspense', 'Audiobook', 'Thriller > Mystery Thriller', 'Thriller']",4.08,3742,"Mrs. Pollifax, Innocent Tourist"
14,220060,1938160916,191,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354903648l/220060.jpg,"['Poetry', 'Nonfiction', 'Biography', 'Language > Writing', 'Writing > Essays']",4.45,144,Breaking the Alabaster Jar: Conversations with Li-Young Lee
15,15707,2070360024,143,1942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326418664l/15707.jpg,"['Classics', 'Fiction', 'Philosophy', 'Cultural > France', 'Literature', 'Novels', 'European Literature > French Literature', 'Academic > School', 'Literary Fiction', 'Literature > 20th Century']",4.01,925013,El Extranjero
16,50364,0679734570,,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425497330l/50364.jpg,"['Poetry', 'Fiction', 'Cultural > India', 'Asian Literature > Indian Literature', 'Literature', 'Novels', 'Contemporary', 'Literary Fiction', 'Literature > American', 'The United States Of America']",4.01,4559,The Golden Gate
17,227199,1400852978,272,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921455l/227199.jpg,"['Science', 'Science > Astronomy', 'Nonfiction']",3.98,43,Is Pluto a Planet?: A Historical Journey Through the Solar System
18,105979,0880299193,528,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526146435l/105979.jpg,"['Fiction', 'Humor', 'Classics', 'Humor > Comedy', 'Novels', 'Mystery', 'Historical', 'European Literature > British Literature', 'Literature > English Literature']",4.41,852,"The Jeeves Collection: ""Stiff Upper Lip, Jeeves"", ""Inimitable Jeeves"", ""Carry on, Jeeves"""
19,17788,0805450009,368,1901,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328854144l/17788.jpg,"['Fiction', 'War > World War II']",3.95,105,Sea of Glory: A Novel
0,191834,0679768025,2160,1933,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172574074l/191834.jpg,"['Fiction', 'Classics', 'Literature', 'European Literature > German Literature', 'Philosophy', 'Novels', 'Cultural > Germany', 'Literature > 20th Century', 'Literary Fiction', 'Literature > European Literature']",4.34,1109,Der Mann ohne Eigenschaften II: Aus dem Nachlaß
1,7946,0688220142,192,1975,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313626358l/7946.jpg,"['Childrens', 'Fiction']",4.16,58,Eddie's Valuable Property
2,108803,1531879284,154,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387707096l/108803.jpg,[],3.38,26,Zorro & the Pirate Raiders
3,50965,0191520268,232,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348554721l/50965.jpg,['Philosophy'],3.80,35,"Ideal Code, Real World"
4,53859,0871137313,336,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348567278l/53859.jpg,"['Travel', 'Nonfiction', 'Science', 'Science > Natural History', 'Autobiography > Memoir', 'Environment > Nature', 'Anthropology', 'Adventure', 'Biology > Ecology', 'Animals']",4.09,689,"Throwim Way Leg: Tree-Kangaroos, Possums and Penis Gourds"
5,25300,0471481173,291,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385246905l/25300.jpg,[],3.00,7,Make Money with Condominiums and Townhouses
6,232032,0007108494,512,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922879l/232032.jpg,"['Fantasy', 'Historical > Historical Fiction', 'Fiction', 'Historical', 'Science Fiction Fantasy', 'Historical Fiction > Historical Fantasy', 'Science Fiction > Alternate History', 'Adult', 'Paranormal > Angels', 'Historical > Medieval']",3.96,1046,The Crippled Angel
7,93642,8420633348,59,1983,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266470680l/93642.jpg,"['Short Stories', 'Fiction', 'Classics', 'Fantasy', 'Literature', 'Magical Realism', 'Philosophy', 'Literature > 20th Century', 'European Literature > Spanish Literature', 'Cultural > Latin American']",4.14,929,La memoria de Shakespeare
8,220898,9583027553,,1903,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172818982l/220898._SY475_.jpg,[],4.13,16,Ante los bárbaros
9,249233,1936374854,182,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388453977l/249233.jpg,"['Self Help', 'Economics > Finance']",3.76,50,The ABCs of Gold Investing: How to Protect and Build Your Wealth with Gold
10,111961,0151792666,320,1971,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391418001l/111961.jpg,"['Literature', 'Criticism', 'History']",4.00,18,Samuel Johnson and the Life of Writing
11,174051,1609801369,248,1983,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347389799l/174051.jpg,"['War', 'Nonfiction', 'Politics', 'History']",4.07,71,Waiting for an Army to Die: The Tragedy of Agent Orange
